county,office,district,candidate,party,county_votes,precinct_votes,diff
Mellette,Constitutional Amendment F,,No,,386,0,386
Mellette,Constitutional Amendment F,,Yes,,279,0,279
Mellette,Constitutional Amendment G,,No,,443,0,443
Mellette,Constitutional Amendment G,,Yes,,295,0,295
Mellette,Constitutional Amendment H,,No,,513,0,513
Mellette,Constitutional Amendment H,,Yes,,214,0,214
Mellette,County Commissioner,1,Casey G Krogman,IND,0,53,-53
Mellette,County Commissioner,1,Wesley A Schmidt,IND,0,111,-111
Mellette,County Commissioner,1,William (Bill) Huber,IND,0,53,-53
Mellette,Initiated Measure 28,,No,,429,0,429
Mellette,Initiated Measure 28,,Yes,,206,0,206
Mellette,Initiated Measure 29,,No,,409,0,409
Mellette,Initiated Measure 29,,Yes,,327,0,327
Mellette,President,,Chase Oliver and Mike Ter Maat,LIB,0,3,-3
Mellette,Public Utilities Commissioner,,A. Gideon Oakes,LIB,44,116,-72
Mellette,Public Utilities Commissioner,,Forrest Wilson,DEM,244,556,-312
Mellette,Public Utilities Commissioner,,Kristie Fiegen,REP,402,2271,-1869
Mellette,Referred Law 21,,No,,535,0,535
Mellette,Referred Law 21,,Yes,,195,0,195
Mellette,State Senate,26,Tamara Grove,REP,464,0,464
Mellette,State Senate,26,Tamara St. John,REP,0,464,-464
Mellette,States Attorney,,Kirby Krueger,,0,319,-319
Mellette,States Attorney,,Marcell Seaton,IND,0,337,-337
Mellette,U.S. House,1,Dusty Johnson,REP,370,2340,-1970
Mellette,U.S. House,1,Sawy Johnson,DEM,0,120,-120
Mellette,U.S. House,1,Sheryl Johnson,DEM,253,330,-77
Miner,Constitutional Amendment E,,No,,795,0,795
Miner,Constitutional Amendment E,,Yes,,347,0,347
Miner,Constitutional Amendment F,,No,,528,0,528
Miner,Constitutional Amendment F,,Yes,,600,0,600
Miner,Constitutional Amendment G,,No,,827,0,827
Miner,Constitutional Amendment G,,Yes,,321,0,321
Miner,Constitutional Amendment H,,No,,796,0,796
Miner,Constitutional Amendment H,,Yes,,327,0,327
Miner,Initiated Measure 28,,No,,907,0,907
Miner,Initiated Measure 28,,Yes,,222,0,222
Miner,Initiated Measure 29,,No,,777,0,777
Miner,Initiated Measure 29,,Yes,,380,0,380
Miner,President,,"Robert F. Kennedy, Jr., and Nicole Shanahan",IND,0,28,-28
Miner,Public Utilities Commissioner,,Forrest Wilson,DEM,192,202,-10
Miner,Referred Law 21,,No,,787,0,787
Miner,Referred Law 21,,Yes,,339,0,339
Miner,State House,8,Greg Zimmerman,LIB,119,125,-6
Miner,State Senate,8,Casey Crabtree,REP,760,837,-77
Miner,Supreme Court Retention,5,No,,165,0,165
Miner,Supreme Court Retention,5,Yes,,770,0,770
Miner,U.S. House,1,Sheryl Johnson,DEM,209,220,-11
Minnehaha,Constitutional Amendment E,,No,,46156,933,45223
Minnehaha,Constitutional Amendment E,,Yes,,46231,1315,44916
Minnehaha,Constitutional Amendment F,,No,,42598,1248,41350
Minnehaha,Constitutional Amendment F,,Yes,,49529,995,48534
Minnehaha,Constitutional Amendment G,,No,,47920,933,46987
Minnehaha,Constitutional Amendment G,,Yes,,45457,1343,44114
Minnehaha,Constitutional Amendment H,,No,,55723,1193,54530
Minnehaha,Constitutional Amendment H,,Yes,,33463,980,32483
Minnehaha,County Commissioner At Large,,Anny Libengood,IND,0,27748,-27748
Minnehaha,County Commissioner At Large,,Cole Heisey,REP,0,42585,-42585
Minnehaha,County Commissioner At Large,,Dean E. Karsky,REP,0,44711,-44711
Minnehaha,County Commissioner At Large,,Dean Karsky,REP,0,3374,-3374
Minnehaha,East Dakota Water Development,4,Bonnie Dybendal,NON,0,5165,-5165
Minnehaha,East Dakota Water Development,4,Richard Bonander,NON,0,5461,-5461
Minnehaha,East Dakota Water Development,Director,Bonnie DyeDahl,NON,0,4965,-4965
Minnehaha,East Dakota Water Development,Director,Richard Bonander,NON,0,5459,-5459
Minnehaha,Initiated Measure 28,,No,,59918,32032,27886
Minnehaha,Initiated Measure 28,,Yes,,31691,17676,14015
Minnehaha,Initiated Measure 29,,No,,45439,23091,22348
Minnehaha,Initiated Measure 29,,Yes,,48055,26287,21768
Minnehaha,President,,Chase Oliver and Mike Maat,LIB,0,46,-46
Minnehaha,President,,Chase Oliver and Mike Ter Maat,LIB,0,57,-57
Minnehaha,President,,Chase Oliver and Mike ter Maat,LIB,673,141,532
Minnehaha,President,,Donald J. Trump and JD Vance,REP,51842,23532,28310
Minnehaha,President,,Kamala D. Harris and Tim Walz,DEM,39923,13452,26471
Minnehaha,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1548,609,939
Minnehaha,Public Utilities Commissioner,,A. Gideon Oakes,LIB,4346,4488,-142
Minnehaha,Public Utilities Commissioner,,Forrest Wilson,DEM,28587,29170,-583
Minnehaha,Public Utilities Commissioner,,Kristie Fiegen,REP,54700,57001,-2301
Minnehaha,Referred Law 21,,No,,50136,29005,21131
Minnehaha,Referred Law 21,,Yes,,38113,20703,17410
Minnehaha,State House,10,Bobbi L Andera,REP,4234,4722,-488
Minnehaha,State House,10,Bobbi L. Andera,REP,0,1897,-1897
Minnehaha,State House,10,Erin Healy,DEM,5138,8906,-3768
Minnehaha,State House,10,Kameron Nelson,DEM,4045,7006,-2961
Minnehaha,State House,11,Aaron Matson,DEM,4261,5762,-1501
Minnehaha,State House,11,Brian K. Mulder,REP,0,6644,-6644
Minnehaha,State House,11,Keri K. Weems,REP,0,6331,-6331
Minnehaha,State House,11,Sonja Mentele,DEM,0,4599,-4599
Minnehaha,State House,11,Sonja Mentzer,DEM,4599,4927,-328
Minnehaha,State House,12,Amber Arlint,REP,2730,3784,-1054
Minnehaha,State House,12,DR Anderson,DEM,0,1820,-1820
Minnehaha,State House,12,Erin Royer,DEM,2610,3471,-861
Minnehaha,State House,12,Greg Jamison,REP,2690,3733,-1043
Minnehaha,State House,12,JR Anderson,DEM,2148,0,2148
Minnehaha,State House,12,R. Anderson,DEM,0,2148,-2148
Minnehaha,State House,13,John Hughes,REP,1659,3069,-1410
Minnehaha,State House,13,Tony Venhuizen,REP,1543,3026,-1483
Minnehaha,State House,15,Brad Lindwurm,REP,3918,4648,-730
Minnehaha,State House,15,Erik Muckey,DEM,4364,10831,-6467
Minnehaha,State House,15,Joni Tschetter,REP,4357,5197,-840
Minnehaha,State House,15,Kadyn Wittman,DEM,4551,12239,-7688
Minnehaha,State House,2,David Kull,REP,8239,9265,-1026
Minnehaha,State House,2,John Sjaarda,REP,8392,8729,-337
Minnehaha,State House,2,John Spaar,REP,0,637,-637
Minnehaha,State House,25,Brad Lindwurm,REP,0,4113,-4113
Minnehaha,State House,25,Jon Hansen,REP,6662,2019,4643
Minnehaha,State House,25,Joni Tschetter,REP,0,432,-432
Minnehaha,State House,25,Les Heineman,REP,0,432,-432
Minnehaha,State House,25,Les Heinemann,REP,5581,1792,3789
Minnehaha,State House,9,Bethany Soye,REP,6473,10957,-4484
Minnehaha,State House,9,Beverly Froslie Johnson,DEM,4003,5238,-1235
Minnehaha,State House,9,Beverly Froslie-Johnson,DEM,0,5707,-5707
Minnehaha,State House,9,Tesa Schwans,REP,6560,8715,-2155
Minnehaha,State Senate,10,Liz Larson,DEM,5606,18750,-13144
Minnehaha,State Senate,11,Chris Karr,REP,6796,2212,4584
Minnehaha,State Senate,11,Clay Hoffman,DEM,0,1811,-1811
Minnehaha,State Senate,11,Steve Natz,DEM,4747,2580,2167
Minnehaha,State Senate,12,Ali Rae Horsted,DEM,0,2077,-2077
Minnehaha,State Senate,12,Arch Beal,REP,2724,834,1890
Minnehaha,State Senate,12,Chris Karr,REP,0,3849,-3849
Minnehaha,State Senate,12,Clay Hoffman,DEM,2859,2784,75
Minnehaha,State Senate,13,Ali Rae,DEM,0,458,-458
Minnehaha,State Senate,13,Ali Rae Horsted,DEM,1669,1392,277
Minnehaha,State Senate,13,Sue Peterson,REP,1635,1941,-306
Minnehaha,State Senate,14,Larry P. Zikmund,REP,7127,8902,-1775
Minnehaha,State Senate,14,Larry Zikmund,REP,0,329,-329
Minnehaha,State Senate,14,Sandra Henry,DEM,5936,7862,-1926
Minnehaha,State Senate,15,Brenda Lawrence,REP,4582,6227,-1645
Minnehaha,State Senate,15,Jamie Smith,DEM,5052,4674,378
Minnehaha,State Senate,2,Steve Kolbeck,REP,10337,9300,1037
Minnehaha,State Senate,25,Brian Wirth,DEM,2672,3590,-918
Minnehaha,State Senate,25,Tom Pischke,REP,7584,9971,-2387
Minnehaha,State Senate,9,Arch Beal,REP,0,7985,-7985
Minnehaha,State Senate,9,Joy Hohn,REP,8137,27757,-19620
Minnehaha,Supreme Court Retention,5,No,,17092,12428,4664
Minnehaha,Supreme Court Retention,5,No,,17092,17292,-200
Minnehaha,Supreme Court Retention,5,Yes,,58811,40724,18087
Minnehaha,Supreme Court Retention,5,Yes,,58811,59142,-331
Minnehaha,U.S. House,1,Dusty Johnson,REP,60016,60726,-710
Minnehaha,U.S. House,1,Sheryl Johnson,DEM,32303,33596,-1293
Moody,Constitutional Amendment E,,No,,1992,1471,521
Moody,Constitutional Amendment E,,Yes,,1183,921,262
Moody,Constitutional Amendment F,,No,,1514,1220,294
Moody,Constitutional Amendment F,,Yes,,1651,1167,484
Moody,Constitutional Amendment G,,No,,2015,1452,563
Moody,Constitutional Amendment G,,Yes,,1192,968,224
Moody,Constitutional Amendment H,,No,,2093,1525,568
Moody,Constitutional Amendment H,,Yes,,1021,814,207
Moody,Initiated Measure 28,,No,,2214,1646,568
Moody,Initiated Measure 28,,Yes,,958,744,214
Moody,Initiated Measure 29,,No,,1886,1378,508
Moody,Initiated Measure 29,,Yes,,1327,1099,228
Moody,Public Utilities Commissioner,,Kristie Fiegen,REP,2142,0,2142
Moody,Public Utilities Commissioner,,Kristie Regen,REP,0,2142,-2142
Moody,Referred Law 21,,No,,2341,1746,595
Moody,Referred Law 21,,Yes,,811,634,177
Moody,State House,25,Jon Hansen,REP,1619,1409,210
Moody,State House,25,Les Heineman,REP,0,1627,-1627
Moody,State House,25,Les Heinemann,REP,1898,1627,271
Moody,State Senate,25,Brian Wirth,DEM,962,879,83
Moody,State Senate,25,Tom Pischke,REP,2083,1785,298
Moody,Supreme Court Retention,5,No,,591,527,64
Moody,Supreme Court Retention,5,No,,591,527,64
Moody,Supreme Court Retention,5,Yes,,2084,1828,256
Moody,Supreme Court Retention,5,Yes,,2084,1828,256
Moody,U.S. House,1,Sheryl Johnson,DEM,889,862,27
Oglala Lakota,Constitutional Amendment E,,An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders and Persons,NO,0,1303,-1303
Oglala Lakota,Constitutional Amendment E,,An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders and Persons,YES,0,1875,-1875
Oglala Lakota,Constitutional Amendment E,,No,,1222,0,1222
Oglala Lakota,Constitutional Amendment E,,Yes,,1764,0,1764
Oglala Lakota,Constitutional Amendment F,,An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on Individuals Eligible for Expanded Medicaid Benefits,NO,0,2526,-2526
Oglala Lakota,Constitutional Amendment F,,An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on Individuals Eligible for Expanded Medicaid Benefits,YES,0,1687,-1687
Oglala Lakota,Constitutional Amendment F,,No,,1816,0,1816
Oglala Lakota,Constitutional Amendment F,,Yes,,1193,0,1193
Oglala Lakota,Constitutional Amendment G,,An Initiated Amendment Establishing a Right to Abortion in the State Constitution,NO,0,1407,-1407
Oglala Lakota,Constitutional Amendment G,,An Initiated Amendment Establishing a Right to Abortion in the State Constitution,YES,0,2743,-2743
Oglala Lakota,Constitutional Amendment G,,No,,980,0,980
Oglala Lakota,Constitutional Amendment G,,Yes,,2020,0,2020
Oglala Lakota,Constitutional Amendment H,,An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,NO,0,2005,-2005
Oglala Lakota,Constitutional Amendment H,,An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,YES,0,2045,-2045
Oglala Lakota,Constitutional Amendment H,,No,,1440,0,1440
Oglala Lakota,Constitutional Amendment H,,Yes,,1465,0,1465
Oglala Lakota,Initiated Measure 28,,No,,1150,1128,22
Oglala Lakota,Initiated Measure 28,,Yes,,1812,1811,1
Oglala Lakota,Initiated Measure 29,,No,,809,836,-27
Oglala Lakota,Initiated Measure 29,,Yes,,2177,2138,39
Oglala Lakota,President,,Chase Oliver and Mike ter Maat,LIB,17,20,-3
Oglala Lakota,President,,Donald J. Trump and JD Vance,REP,406,523,-117
Oglala Lakota,President,,Kamala D. Harris and Tim Walz,DEM,2567,3234,-667
Oglala Lakota,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,72,91,-19
Oglala Lakota,Public Utilities Commissioner,,A. Gideon Oakes,LIB,313,156,157
Oglala Lakota,Public Utilities Commissioner,,Kristie Fiegen,REP,720,357,363
Oglala Lakota,State House,27,Elsie Meeks,DEM,1654,1895,-241
Oglala Lakota,State House,27,Liz May,REP,475,530,-55
Oglala Lakota,State House,27,Peri Pourier,DEM,2488,2877,-389
Oglala Lakota,State Senate,27,Anthony G. Kathol,REP,348,432,-84
Oglala Lakota,State Senate,27,Red Dawn Foster,DEM,2717,3478,-761
Oglala Lakota,Supreme Court Retention,5,Shall Justice Scott P. Myren be retained?,NO,0,1586,-1586
Oglala Lakota,Supreme Court Retention,5,Shall Justice Scott P. Myren be retained?,YES,0,1500,-1500
Oglala Lakota,Supreme Court Retention,5,Yes,,1315,1313,2
Pennington,Constitutional Amendment E,,No,,30434,28427,2007
Pennington,Constitutional Amendment E,,Yes,,25391,26459,-1068
Pennington,Constitutional Amendment F,,No,,22050,22002,48
Pennington,Constitutional Amendment F,,Yes,,33445,18442,15003
Pennington,Constitutional Amendment G,,No,,29696,22023,7673
Pennington,Constitutional Amendment G,,Yes,,26400,25622,778
Pennington,Constitutional Amendment H,,No,,33428,25722,7706
Pennington,Constitutional Amendment H,,Yes,,20484,25596,-5112
Pennington,Initiated Measure 28,,No,,35335,2372,32963
Pennington,Initiated Measure 28,,Yes,,19799,1373,18426
Pennington,Initiated Measure 29,,No,,28863,1978,26885
Pennington,Initiated Measure 29,,Yes,,27386,1280,26106
Pennington,President,,Chase Oliver and Mike ter Maat,LIB,483,380,103
Pennington,President,,Donald J. Trump and JD Vance,REP,35009,37386,-2377
Pennington,President,,Kamala D. Harris and Tim Walz,DEM,20051,20260,-209
Pennington,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,1037,1138,-101
Pennington,Public Utilities Commissioner,,A. Gideon Oakes,LIB,4324,4425,-101
Pennington,Public Utilities Commissioner,,Forrest Wilson,DEM,15384,16474,-1090
Pennington,Public Utilities Commissioner,,Kristie Fiegen,REP,33056,35831,-2775
Pennington,Referred Law 21,,No,,28535,1763,26772
Pennington,Referred Law 21,,Yes,,24433,1314,23119
Pennington,State House,27,Elsie Meeks,DEM,380,3561,-3181
Pennington,State House,27,Liz May,REP,1779,5400,-3621
Pennington,State House,27,Peri Pourier,DEM,297,1696,-1399
Pennington,State House,30,Susan Scheirbeck,DEM,1400,0,1400
Pennington,State House,30,Susan Schirebeck,DEM,0,3199,-3199
Pennington,State House,30,Tim Goodwin,REP,3631,2937,694
Pennington,State House,30,Trish Ladner,REP,3188,3402,-214
Pennington,State House,32,Brook Kaufman,REP,3548,621,2927
Pennington,State House,32,Nicole Uhre Balk,DEM,0,935,-935
Pennington,State House,32,Nicole Uhre-Balk,DEM,4133,0,4133
Pennington,State House,32,Steve Duffy,REP,4111,716,3395
Pennington,State House,33,Curt Massie,REP,6067,10369,-4302
Pennington,State House,33,Phil Jensen,REP,6014,10021,-4007
Pennington,State House,33,Tina Mullally,REP,0,1383,-1383
Pennington,State House,34,Heather Baxter,REP,6381,4234,2147
Pennington,State House,34,Jason Lind,#NAME?,0,1525,-1525
Pennington,State House,34,Mike Derby,REP,7108,4333,2775
Pennington,State House,34,Tony Randolph,REP,0,1297,-1297
Pennington,State House,35,Jason Lind,#NAME?,0,746,-746
Pennington,State House,35,Jason Lind,DEM,3772,4032,-260
Pennington,State House,35,Pat Cromwell,DEM,4004,4814,-810
Pennington,State House,35,Tina L Mulally,REP,8586,0,8586
Pennington,State House,35,Tina Mulally,REP,0,9236,-9236
Pennington,State House,35,Tina Mullally,REP,0,2171,-2171
Pennington,State House,35,Tony Randolph,REP,8778,10555,-1777
Pennington,State Senate,27,Anthony G. Kathol,REP,1765,1767,-2
Pennington,State Senate,27,Red Dawn Foster,DEM,329,1238,-909
Pennington,State Senate,30,Amber Hulse,REP,3942,10,3932
Pennington,State Senate,30,Bret Swanson,DEM,1469,1179,290
Pennington,State Senate,32,Helene Duhamel,REP,5189,2724,2465
Pennington,State Senate,32,Karen M. McNeal,IND,3463,1663,1800
Pennington,State Senate,33,Curt Voight,REP,7538,7511,27
Pennington,State Senate,33,Kehala Two Bulls,DEM,0,10454,-10454
Pennington,State Senate,34,Kehala Two Bulls,DEM,5016,6991,-1975
Pennington,State Senate,34,Taffy Howard,REP,7586,5147,2439
Pennington,State Senate,35,Greg Blanc,REP,9851,8860,991
Pennington,Supreme Court Retention,5,No,,10233,12644,-2411
Pennington,Supreme Court Retention,5,Yes,,35479,40634,-5155
Pennington,U.S. House,1,Dusty Johnson,REP,38628,39633,-1005
Pennington,U.S. House,1,Sheryl Johnson,DEM,16727,16603,124
Pennington,,,No,,0,2582,-2582
Pennington,,,Yes,,0,1865,-1865
Perkins,Constitutional Amendment E,,No,,1155,1133,22
Perkins,Constitutional Amendment E,,Yes,,427,519,-92
Perkins,Constitutional Amendment F,,No,,621,681,-60
Perkins,Constitutional Amendment F,,Yes,,955,965,-10
Perkins,Constitutional Amendment G,,No,,1240,997,243
Perkins,Constitutional Amendment G,,Yes,,348,502,-154
Perkins,Constitutional Amendment H,,No,,1223,1290,-67
Perkins,Constitutional Amendment H,,Yes,,337,499,-162
Perkins,Initiated Measure 28,,No,,1246,1846,-600
Perkins,Initiated Measure 28,,Yes,,321,520,-199
Perkins,Initiated Measure 29,,No,,1199,2149,-950
Perkins,Initiated Measure 29,,Yes,,382,879,-497
Perkins,President,,Chase Oliver and Mike ter Maat,LIB,4,2,2
Perkins,President,,Donald J. Trump and JD Vance,REP,1342,2423,-1081
Perkins,President,,Kamala D. Harris and Tim Walz,DEM,228,404,-176
Perkins,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,15,-15
Perkins,Public Utilities Commissioner,,A. Gideon Oakes,LIB,173,71,102
Perkins,Public Utilities Commissioner,,Forrest Wilson,DEM,184,187,-3
Perkins,Referred Law 21,,No,,1114,2125,-1011
Perkins,Referred Law 21,,Yes,,435,782,-347
Perkins,State House,28A,Carl J. Petersen,DEM,78,186,-108
Perkins,State House,28A,Dana Hunt,REP,0,2384,-2384
Perkins,State House,28A,Jana Hunt,REP,622,0,622
Perkins,Supreme Court Retention,5,Justice Scott P. Myren,,0,1060,-1060
Perkins,Supreme Court Retention,5,No,,210,405,-195
Perkins,Supreme Court Retention,5,Yes,,1049,1147,-98
Potter,Supreme Court Retention,5,No,,166,132,34
Roberts,Constitutional Amendment E,,No,,2350,0,2350
Roberts,Constitutional Amendment E,,Yes,,1735,0,1735
Roberts,Constitutional Amendment F,,No,,1973,0,1973
Roberts,Constitutional Amendment F,,Yes,,2106,0,2106
Roberts,Constitutional Amendment G,,No,,2431,0,2431
Roberts,Constitutional Amendment G,,Yes,,1669,0,1669
Roberts,Constitutional Amendment H,,No,,2655,0,2655
Roberts,Constitutional Amendment H,,Yes,,1342,0,1342
Roberts,Initiated Measure 28,,No,,2828,0,2828
Roberts,Initiated Measure 28,,Yes,,1240,0,1240
Roberts,Initiated Measure 29,,No,,2381,0,2381
Roberts,Initiated Measure 29,,Yes,,1714,0,1714
Roberts,President,,Chase Oliver and Mike ter Maat,LIB,12,13,-1
Roberts,President,,Donald J. Trump and JD Vance,REP,2514,5345,-2831
Roberts,President,,Kamala D. Harris and Tim Walz,DEM,1560,3245,-1685
Roberts,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",IND,63,97,-34
Roberts,Public Utilities Commissioner,,A. Gideon Oakes,LIB,272,0,272
Roberts,Public Utilities Commissioner,,Forrest Wilson,DEM,1327,0,1327
Roberts,Public Utilities Commissioner,,Kristie Fiegen,REP,2348,0,2348
Roberts,Referred Law 21,,No,,2337,0,2337
Roberts,Referred Law 21,,Yes,,1666,0,1666
Roberts,State Senate,1,Michael H. Rohl,REP,1843,1930,-87
Roberts,State Senate,4,Stephanie Sauder,REP,774,881,-107
Roberts,Supreme Court Retention,5,No,,782,733,49
Roberts,Supreme Court Retention,5,Yes,,2728,2441,287
Roberts,U.S. House,1,Dusty Johnson,REP,2827,0,2827
Roberts,U.S. House,1,Johnson,,0,2823,-2823
Roberts,U.S. House,1,Sheryl Johnson,DEM,1272,0,1272
Roberts,U.S. House,1,Synergy Mcassy,,0,1118,-1118
Sanborn,Constitutional Amendment A,,No,,0,1065,-1065
Sanborn,Constitutional Amendment A,,Yes,,0,960,-960
Sanborn,Constitutional Amendment H,,Yes,,299,292,7
Sanborn,County Commissioner,2,Earl Hinricher,REP,0,168,-168
Sanborn,County Commissioner,2,Paul Larson,DEM,0,112,-112
Sanborn,Initiated Measure 28,,Yes,,251,258,-7
Spink,Constitutional Amendment E,,No,,2066,1990,76
Spink,Constitutional Amendment E,,Yes,,1046,980,66
Spink,Constitutional Amendment F,,No,,1530,1579,-49
Spink,Constitutional Amendment F,,Yes,,1574,1381,193
Spink,Constitutional Amendment G,,No,,2081,1976,105
Spink,Constitutional Amendment G,,Yes,,1037,912,125
Spink,Constitutional Amendment H,,No,,2168,2059,109
Spink,Constitutional Amendment H,,Yes,,917,816,101
Spink,County Commissioner,4,Suzanne Smith,IND,0,465,-465
Spink,County Commissioner,4,Thomas Farmen,IND,0,175,-175
Spink,Initiated Measure 28,,No,,2382,2283,99
Spink,Initiated Measure 29,,No,,2033,2030,3
Spink,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,59,-59
Spink,Referred Law 21,,No,,2077,2067,10
Spink,State House,22,Kevin Van Deipen,REP,0,1345,-1345
Spink,State House,22,Kevin Van Diepen,REP,1345,0,1345
Spink,State Senate,22,David Wheeler,REP,1998,2008,-10
Spink,Supreme Court Retention,5,No,,453,553,-100
Spink,U.S. House,1,Dusty Johnson,REP,2430,4507,-2077
Spink,U.S. House,1,Sheryl Johnson,DEM,685,1216,-531
Todd,Constitutional Amendment E,,An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders,NO,0,53,-53
Todd,Constitutional Amendment E,,An Amendment to the South Dakota Constitution Updating Gender References for Certain Officeholders,YES,0,73,-73
Todd,Constitutional Amendment E,,No,,917,0,917
Todd,Constitutional Amendment E,,Yes,,1187,0,1187
Todd,Constitutional Amendment F,,An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on,NO,0,68,-68
Todd,Constitutional Amendment F,,An Amendment to the South Dakota Constitution Authorizing the State to Impose a Work Requirement on,YES,0,57,-57
Todd,Constitutional Amendment F,,No,,1322,0,1322
Todd,Constitutional Amendment F,,Yes,,797,0,797
Todd,Constitutional Amendment G,,An Initiated Amendment Establishing a Right to Abortion in the State Constitution,NO,0,46,-46
Todd,Constitutional Amendment G,,An Initiated Amendment Establishing a Right to Abortion in the State Constitution,YES,0,62,-62
Todd,Constitutional Amendment G,,No,,810,0,810
Todd,Constitutional Amendment G,,Yes,,1300,0,1300
Todd,Constitutional Amendment H,,An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,NO,0,57,-57
Todd,Constitutional Amendment H,,An Amendment to the South Dakota Constitution Establishing Top-Two Primary Elections,YES,0,70,-70
Todd,Constitutional Amendment H,,No,,1113,0,1113
Todd,Constitutional Amendment H,,Yes,,949,0,949
Todd,Initiated Measure 28,,An Initiated Measure Prohibiting Taxes on Anything Sold for Human Consumption,NO,0,76,-76
Todd,Initiated Measure 28,,An Initiated Measure Prohibiting Taxes on Anything Sold for Human Consumption,YES,0,62,-62
Todd,Initiated Measure 28,,No,,1132,0,1132
Todd,Initiated Measure 28,,Yes,,946,0,946
Todd,Initiated Measure 29,,"An Initiated Measure Legalizing the Recreational Use, Possession, and Distribution of Marijuana",NO,0,29,-29
Todd,Initiated Measure 29,,"An Initiated Measure Legalizing the Recreational Use, Possession, and Distribution of Marijuana",YES,0,94,-94
Todd,Initiated Measure 29,,No,,662,0,662
Todd,Initiated Measure 29,,Yes,,1462,0,1462
Todd,Public Utilities Commissioner,,A. Gideon Oakes,LIB,113,120,-7
Todd,Public Utilities Commissioner,,Forrest Wilson,DEM,1458,1517,-59
Todd,Public Utilities Commissioner,,Kristie Fiegen,REP,475,505,-30
Todd,Referred Law 21,,"A Referred Act to Provide New Statutory Requirements for Regulating Linear Transmission Facilities, to Allow",NO,0,74,-74
Todd,Referred Law 21,,"A Referred Act to Provide New Statutory Requirements for Regulating Linear Transmission Facilities, to Allow",YES,0,49,-49
Todd,Referred Law 21,,No,,1268,0,1268
Todd,Referred Law 21,,Yes,,715,0,715
Todd,State Senate,26,Shawn Bordeaux,DEM,1464,1522,-58
Todd,State Senate,26,Tamara St. John,REP,0,631,-631
Todd,Supreme Court Retention,5,No,,908,0,908
Todd,Supreme Court Retention,5,Scott P. Myren,NO,0,908,-908
Todd,Supreme Court Retention,5,Scott P. Myren,YES,0,943,-943
Todd,Supreme Court Retention,5,Yes,,943,0,943
Tripp,Constitutional Amendment E,,No,,932,0,932
Tripp,Constitutional Amendment E,,Yes,,718,0,718
Tripp,Constitutional Amendment F,,No,,1204,0,1204
Tripp,Constitutional Amendment F,,Yes,,1449,0,1449
Tripp,Constitutional Amendment G,,No,,2024,0,2024
Tripp,Constitutional Amendment G,,Yes,,644,0,644
Tripp,Constitutional Amendment H,,No,,2102,0,2102
Tripp,Constitutional Amendment H,,Yes,,544,0,544
Tripp,Initiated Measure 28,,No,,2207,0,2207
Tripp,Initiated Measure 28,,Yes,,435,0,435
Tripp,Initiated Measure 29,,No,,2014,0,2014
Tripp,Initiated Measure 29,,Yes,,649,0,649
Tripp,Public Utilities Commissioner,,A. Gideon Oakes,LIB,207,72,135
Tripp,Public Utilities Commissioner,,Forrest Wilson,DEM,357,312,45
Tripp,Public Utilities Commissioner,,Kristie Fiegen,REP,2119,1869,250
Tripp,Referred Law 21,,No,,1981,0,1981
Tripp,Referred Law 21,,Yes,,640,0,640
Tripp,State House,21,Jim Halverson,REP,2126,2718,-592
Tripp,State House,21,Marty Overweg,REP,1214,1508,-294
Tripp,State Senate,21,Dan Andersson,DEM,476,479,-3
Tripp,State Senate,21,Mykala Voita,REP,2082,2128,-46
Tripp,Supreme Court Retention,5,No,,435,407,28
Tripp,Supreme Court Retention,5,No,,435,355,80
Tripp,Supreme Court Retention,5,Yes,,1847,1717,130
Tripp,Supreme Court Retention,5,Yes,,1847,1496,351
Turner,Constitutional Amendment E,,No,,3071,0,3071
Turner,Constitutional Amendment E,,Yes,,1443,0,1443
Turner,Constitutional Amendment F,,No,,1971,0,1971
Turner,Constitutional Amendment F,,Yes,,2551,0,2551
Turner,Constitutional Amendment G,,No,,3210,0,3210
Turner,Constitutional Amendment G,,Yes,,1331,0,1331
Turner,Constitutional Amendment H,,No,,3244,0,3244
Turner,Constitutional Amendment H,,Yes,,1208,0,1208
Turner,Initiated Measure 28,,No,,3526,0,3526
Turner,Initiated Measure 28,,Yes,,975,0,975
Turner,Initiated Measure 29,,No,,2982,0,2982
Turner,Initiated Measure 29,,Yes,,1570,0,1570
Turner,President,,Kamala D. Harris and Tim Walz,DEM,1044,1140,-96
Turner,President,,"Robert F. Kennedy, Jr. and Nicole Shanahan",,0,85,-85
